"CLOSED-WON DATA  —  paste YTD closed-won deals into rows 3+ (warehouse, account, ACV, go-live, etc.). Used by the main report to track booked revenue.",,,,,,,,,,,
#,Warehouse Location,Account Name,Opportunity Owner,Volume (Pallets),Volume (SQM),Expected Revenue (CY),Annual Contract Value,Ops Go-Live Date,Stage,,Estimated Rate per pallet 
1,DMM Port,SAUDI CARBONATE COMPANY,Yazan  Darwish,300,-," 91,200 ",,01-May-26,Closed Won,,
2,DMM 2nd Ind,MEBCo (Clarios),Yazan  Darwish,900,-," 540,000 "," 648,000 ",01-Mar-26,Closed Won,,
3,DMM 2nd Ind,Rawabi Electric,Yazan  Darwish,440,-," 211,200 "," 105,600 ",27-Jan-26,Closed Won,,
4,DMM 2nd Ind,Dorfketal,Yazan  Darwish,200,-," 86,400 "," 78,000 ",01-May-26,Closed Won,,
5,DMM 2nd Ind,Rising Future,Yazan  Darwish,50,-," 25,000 "," 30,000 ",01-Mar-26,Closed Won,,
6,Jubail 1,Maaden,Yazan  Darwish,"1,200",-," 880,000 "," 960,000 ",01-Feb-26,Closed Won,,
7,JED Modon 3B,Al Nahdi,Simon Reah,"4,000",-," 756,000 "," 756,000 ",01-Apr-26,Closed Won,,
8,JED Modon 3B,Sharbatly Fruit Company,Simon Reah,"1,500",-," 513,000 "," 684,000 ",15-Apr-26,Closed Won,,
9,Subcontractor,PSA-BDP,Amin AlHalabi,"2,500",-," 1,650,000 "," 1,800,000 ",14-Feb-26,Closed Won,, 66.00 
10,Contract Logistics,Tasnee,Yazan  Darwish,-,-," 1,450,000 "," 725,000 ",01-May-26,Closed Won,,
11,Transportatoin,Arabian Trading Supplies,Yazan  Darwish,-,-," 197,500 "," 197,500 ",01-May-26,Closed Won,,
12,,,,,,,,,,,
13,,,,,,,,,,,
14,,,,,,,,,,,
15,,,,,,,,,,,
16,,,,,,,,,,,
17,,,,,,,,,,,
18,,,,,,,,,,,
19,,,,,,,,,,,
20,,,,,,,,,,,
21,,,,,,,,,,,
22,,,,,,,,,,,
23,,,,,,,,,,,
24,,,,,,,,,,,
25,,,,,,,,,,,
26,,,,,,,,,,,
27,,,,,,,,,,,
28,,,,,,,,,,,
29,,,,,,,,,,,
30,,,,,,,,,,,
31,,,,,,,,,,,
32,,,,,,,,,,,
33,,,,,,,,,,,
34,,,,,,,,,,,
35,,,,,,,,,,,
36,,,,,,,,,,,
37,,,,,,,,,,,
38,,,,,,,,,,,
39,,,,,,,,,,,
40,,,,,,,,,,,
41,,,,,,,,,,,
42,,,,,,,,,,,
43,,,,,,,,,,,
44,,,,,,,,,,,
45,,,,,,,,,,,
46,,,,,,,,,,,
47,,,,,,,,,,,
48,,,,,,,,,,,
49,,,,,,,,,,,
50,,,,,,,,,,,
