PIPELINE ROLLING PROFITABILITY REPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period:,May-26 to Dec-27 (20 months),,Currency:,SAR,,Last Updated:,05-May-2026,,Source:,"Hala YTD WH Pipeline (Hano Oberholzer, 05-May-2026)",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. PIPELINE OPPORTUNITIES (Revenue),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Customer / Opportunity,Opportunity Owner,Stage,Probability,Warehouse Location,Ops Go-Live Date,Annual Contract Value,Expected Revenue (Current Yr),Volume - Pallets,Volume - SQM,May-26,Jun-26,Jul-26,Aug-26,Sep-26,Oct-26,Nov-26,Dec-26,2026 Total,Jan-27,Feb-27,Mar-27,Apr-27,May-27,Jun-27,Jul-27,Aug-27,Sep-27,Oct-27,Nov-27,Dec-27,2027 Total,Grand Total,Weighted Total,Notes
1,SLB,Yazan Darwish,Prospecting,20.0%,Dammam 2nd Ind -Tad WH,01-Jul-26," 2,400,000 "," 1,200,000 ","4,000",-, - , - ," 200,000 "," 200,000 "," 200,000 "," 200,000 "," 200,000 "," 200,000 "," 1,200,000 "," 200,000 "," 200,000 "," 200,000 "," 200,000 "," 200,000 "," 200,000 "," 200,000 "," 200,000 "," 200,000 "," 200,000 "," 200,000 "," 200,000 "," 2,400,000 "," 3,600,000 "," 720,000 ",Opp: ChampionX/DMM/WH/4000PP | Region: East
2,NALCO Ecolab,Yazan Darwish,Contract Negotiation,90.0%,Dammam 2nd Ind -Tad WH,01-Jun-26," 2,400,000 "," 1,400,000 ","4,000",-, - ," 200,000 "," 200,000 "," 200,000 "," 200,000 "," 200,000 "," 200,000 "," 200,000 "," 1,400,000 "," 200,000 "," 200,000 "," 200,000 "," 200,000 "," 200,000 "," 200,000 "," 200,000 "," 200,000 "," 200,000 "," 200,000 "," 200,000 "," 200,000 "," 2,400,000 "," 3,800,000 "," 3,420,000 ",Opp: NALCO/WH/DMM/4000PP | Region: East
3,Synthomer ME,Yazan Darwish,Contract Negotiation,90.0%,Dammam 2nd Ind -Tad WH,15-May-26," 900,000 "," 600,000 ","1,500",-," 75,000 "," 75,000 "," 75,000 "," 75,000 "," 75,000 "," 75,000 "," 75,000 "," 75,000 "," 600,000 "," 75,000 "," 75,000 "," 75,000 "," 75,000 "," 75,000 "," 75,000 "," 75,000 "," 75,000 "," 75,000 "," 75,000 "," 75,000 "," 75,000 "," 900,000 "," 1,500,000 "," 1,350,000 ",Opp: Synthomer/WH/DMM/1500PP | Region: East
4,Transworld Saudi Logistics,Yazan Darwish,Proposal Sent,60.0%,Dammam 2nd Ind -Tad WH,01-May-26," 420,000 "," 280,000 ",500,-," 35,000 "," 35,000 "," 35,000 "," 35,000 "," 35,000 "," 35,000 "," 35,000 "," 35,000 "," 280,000 "," 35,000 "," 35,000 "," 35,000 "," 35,000 "," 35,000 "," 35,000 "," 35,000 "," 35,000 "," 35,000 "," 35,000 "," 35,000 "," 35,000 "," 420,000 "," 700,000 "," 420,000 ",Opp: Transworld/DMM/WH/500PP | Region: East
5,Schmidt,Yazan Darwish,Proposal Sent,60.0%,Dammam 2nd Ind -Tad WH,01-May-26," 264,000 "," 176,000 ",400,-," 22,000 "," 22,000 "," 22,000 "," 22,000 "," 22,000 "," 22,000 "," 22,000 "," 22,000 "," 176,000 "," 22,000 "," 22,000 "," 22,000 "," 22,000 "," 22,000 "," 22,000 "," 22,000 "," 22,000 "," 22,000 "," 22,000 "," 22,000 "," 22,000 "," 264,000 "," 440,000 "," 264,000 ",Opp: Schmidt/WH/DMM2/400PP | Region: East
6,Zaghami,Yazan Darwish,Proposal Sent,60.0%,Dammam 2nd Ind -Tad WH,01-Aug-26," 210,000 "," 87,500 ",250,-, - , - , - ," 17,500 "," 17,500 "," 17,500 "," 17,500 "," 17,500 "," 87,500 "," 17,500 "," 17,500 "," 17,500 "," 17,500 "," 17,500 "," 17,500 "," 17,500 "," 17,500 "," 17,500 "," 17,500 "," 17,500 "," 17,500 "," 210,000 "," 297,500 "," 178,500 ",Opp: Zaghami/WH/DMM/250PP | Region: East
7,Transworld Saudi Logistics,Yazan Darwish,Proposal Sent,60.0%,Dammam 2nd Ind -Tad WH,01-Jun-26," 162,500 "," 94,792 ",250,-, - ," 13,542 "," 13,542 "," 13,542 "," 13,542 "," 13,542 "," 13,542 "," 13,542 "," 94,792 "," 13,542 "," 13,542 "," 13,542 "," 13,542 "," 13,542 "," 13,542 "," 13,542 "," 13,542 "," 13,542 "," 13,542 "," 13,542 "," 13,542 "," 162,500 "," 257,292 "," 154,375 ","? Source Exp CY (113,750) ? ACV/12 implied (94,792) | Opp: Transworld/DMM/WH/250PP | Region: East"
8,i-Energy,Yazan Darwish,Proposal Sent,60.0%,Dammam 2nd Ind -Tad WH,01-May-26," 150,000 "," 100,000 ",250,-," 12,500 "," 12,500 "," 12,500 "," 12,500 "," 12,500 "," 12,500 "," 12,500 "," 12,500 "," 100,000 "," 12,500 "," 12,500 "," 12,500 "," 12,500 "," 12,500 "," 12,500 "," 12,500 "," 12,500 "," 12,500 "," 12,500 "," 12,500 "," 12,500 "," 150,000 "," 250,000 "," 150,000 ",Opp: iEnergy/WH/DMM2/250PP | Region: East
9,FMS Group,Yazan Darwish,Proposal Sent,60.0%,Dammam 2nd Ind -Tad WH,01-Jun-26," 50,000 "," 29,167 ",100,-, - ," 4,167 "," 4,167 "," 4,167 "," 4,167 "," 4,167 "," 4,167 "," 4,167 "," 29,167 "," 4,167 "," 4,167 "," 4,167 "," 4,167 "," 4,167 "," 4,167 "," 4,167 "," 4,167 "," 4,167 "," 4,167 "," 4,167 "," 4,167 "," 50,000 "," 79,167 "," 47,500 ","? Source Exp CY (35,000) ? ACV/12 implied (29,167) | Opp: FMS/DMM/WH/100PP | Region: East"
10,El Ajou Group,Yazan Darwish,Proposal Sent,60.0%,Dammam 2nd Ind -Tad WH,01-Jul-26," 78,000 "," 39,000 ",100,-, - , - ," 6,500 "," 6,500 "," 6,500 "," 6,500 "," 6,500 "," 6,500 "," 39,000 "," 6,500 "," 6,500 "," 6,500 "," 6,500 "," 6,500 "," 6,500 "," 6,500 "," 6,500 "," 6,500 "," 6,500 "," 6,500 "," 6,500 "," 78,000 "," 117,000 "," 70,200 ",Opp: El Ajou Group/WH/DAMM2nd/100PP | Region: East
11,JAS,Yazan Darwish,Shortlisted,75.0%,Jubail 1,01-Jun-26," 924,000 "," 539,000 ","1,400",-, - ," 77,000 "," 77,000 "," 77,000 "," 77,000 "," 77,000 "," 77,000 "," 77,000 "," 539,000 "," 77,000 "," 77,000 "," 77,000 "," 77,000 "," 77,000 "," 77,000 "," 77,000 "," 77,000 "," 77,000 "," 77,000 "," 77,000 "," 77,000 "," 924,000 "," 1,463,000 "," 1,097,250 ",Opp: JAS/WH/JUB/1400PP | Region: East
12,LX Pantos Logistics,Yazan Darwish,Shortlisted,75.0%,Jubail 1,01-May-26," 726,000 "," 484,000 ","1,000",-," 60,500 "," 60,500 "," 60,500 "," 60,500 "," 60,500 "," 60,500 "," 60,500 "," 60,500 "," 484,000 "," 60,500 "," 60,500 "," 60,500 "," 60,500 "," 60,500 "," 60,500 "," 60,500 "," 60,500 "," 60,500 "," 60,500 "," 60,500 "," 60,500 "," 726,000 "," 1,210,000 "," 907,500 ",Opp: LXPantos/WH/JUB1/1000PP | Region: East
