HALA SUPPLY CHAIN SERVICES CO. LLC,,,,,,,,,,,,,,
Summary of All Units,,,,,,,,,,,,,,
For the Four Months Ending 30 April 2026,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
GL Code,Description,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,YTD
401120:401122,Operating revenue - Warehousing," 8,115,849.35 "," 7,432,397.95 "," 7,272,375.18 "," 6,818,737.41 ",,,,,,,,," 29,639,359.89 "
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
401120:401122-CUS-143143,Hellmann Saudi Arabi LLC,"153,542.33 ","151,481.33 ","111,017.33 ","119,593.33 ",,,,,,,,,"535,634.32 "
401120:401122-CUS-143156,Akzo Nobel Saudi Arabia Ltd,"183,860.00 ","195,811.17 ","189,650.66 ","209,834.91 ",,,,,,,,,"779,156.74 "
401120:401122-CUS-143216,Wahah Electric Supply Co. of Saudi Arabia,"5,595.00 ","5,844.00 ","5,617.50 ","5,695.50 ",,,,,,,,,"22,752.00 "
401120:401122-CUS-143217,Cold Stores Group of Saudi Arabia,"6,000.00 ","6,000.00 ","6,000.00 ","6,000.00 ",,,,,,,,,"24,000.00 "
401120:401122-CUS-143265,Al Jeel Medical & Trading Co. Ltd.,"5,500.00 ","5,500.00 ","5,500.00 ","5,500.00 ",,,,,,,,,"22,000.00 "
401120:401122-CUS-143270,Sahara International petrochemical Company-(SIPCHEM),"92,166.40 ","89,713.13 ","87,956.35 ","75,400.38 ",,,,,,,,,"345,236.26 "
401120:401122-CUS-143293,Middle East Battery Company,,,,"4,224.00 ",,,,,,,,,"4,224.00 "
401120:401122-CUS-143295,Saudi Basic Industries Corporation (SABIC),"719,112.80 ","766,900.73 ","727,848.65 ","399,966.43 ",,,,,,,,,"2,613,828.61 "
401120:401122-CUS-143313,Schlumberger Middle East S.A.,"704,580.00 ","704,580.00 ","704,580.00 ","704,580.00 ",,,,,,,,,"2,818,320.00 "
401120:401122-CUS-143319,Arkema Chemicals Saudi Arabia,"38,099.00 ","38,921.00 ","74,947.00 ","49,483.00 ",,,,,,,,,"201,450.00 "
401120:401122-CUS-143330,Baxter Company Limited,"264,304.00 ","274,710.00 ","308,797.00 ","316,397.00 ",,,,,,,,,"1,164,208.00 "
401120:401122-CUS-143429,Saudi Technology and Security Comprehensive Control Co . LTD,"1,209,752.00 ","1,211,420.00 ","1,197,100.00 ","1,203,016.00 ",,,,,,,,,"4,821,288.00 "
401120:401122-CUS-143444,Linxon Saudi Arabia Co. Ltd,"16,084.00 ",,,,,,,,,,,,"16,084.00 "
401120:401122-CUS-143471,Saudi Renal Services Company Ltd.,669.60 ,604.80 ,324.00 ,,,,,,,,,,"1,598.40 "
401120:401122-CUS-143472,Redachem United For Trading Company  Limited,"6,920.50 ","5,890.00 ","5,800.00 ","5,927.50 ",,,,,,,,,"24,538.00 "
401120:401122-CUS-143521,VEOLIA Water Technologies,"1,568.40 ","1,310.40 ","1,450.80 ","1,450.80 ",,,,,,,,,"5,780.40 "
401120:401122-CUS-143561,Diversey Saudi Arabia Limited Company,"322,768.50 ","263,249.50 ","247,026.00 ","298,295.00 ",,,,,,,,,"1,131,339.00 "
401120:401122-CUS-143570,MA'ADEN PHOSPHATE COMPANY- MPC,"80,400.00 ","80,400.00 ","80,400.00 ","80,400.00 ",,,,,,,,,"321,600.00 "
401120:401122-CUS-143579,Nahdi Medical Company,"67,500.00 ","67,500.00 ","87,450.00 ","58,447.00 ",,,,,,,,,"280,897.00 "
401120:401122-CUS-143592,AATCO Food Industries LLC,"427,427.53 ","400,151.34 ","457,086.77 ","461,916.06 ",,,,,,,,,"1,746,581.70 "
401120:401122-CUS-143596,Saudi Basic Industries Corporation (SABIC),"1,486,803.74 ","1,195,589.97 ","1,084,037.90 ","895,778.97 ",,,,,,,,,"4,662,210.58 "
401120:401122-CUS-143601,Trio Electric Company,"9,201.00 ","9,225.50 ","8,021.50 ","7,615.00 ",,,,,,,,,"34,063.00 "
401120:401122-CUS-143602,AL Dawaa Pharmaceutical Industries Factory,"13,534.00 ","12,830.00 ","12,040.00 ","11,665.00 ",,,,,,,,,"50,069.00 "
401120:401122-CUS-143605,Saudi Basic Industries Corporation (SABIC IBN SINA),"138,276.00 ","147,816.00 ","85,104.00 ","75,600.00 ",,,,,,,,,"446,796.00 "
401120:401122-CUS-143627,DHL Global Forwarding,"6,660.00 ","6,660.00 ","6,590.00 ","6,500.00 ",,,,,,,,,"26,410.00 "
401120:401122-CUS-143649,ALTEK CO,"27,126.88 ","28,445.71 ","(6,925.56)","58,158.83 ",,,,,,,,,"106,805.86 "
401120:401122-CUS-143670,Elite Warehouses for E-Marketing,"72,464.00 ","69,668.60 ","80,354.30 ","74,241.50 ",,,,,,,,,"296,728.40 "
401120:401122-CUS-143673,Basamh Trading Co. Ltd.,"229,495.00 ",,"(89,921.20)",,,,,,,,,,"139,573.80 "
401120:401122-CUS-143674,The Saudi Co. of Chemical Trading Ltd.,"26,007.28 ","22,382.09 ","20,100.75 ","12,566.44 ",,,,,,,,,"81,056.56 "
401120:401122-CUS-143675,Aneeb Industrial Services Co. Ltd.,"1,876.00 ","1,300.00 ","1,300.00 ","1,335.00 ",,,,,,,,,"5,811.00 "
401120:401122-CUS-143677,Saudi Multichem Trading Company,"158,231.50 ","155,979.00 ","(300,528.50)","139,621.50 ",,,,,,,,,"153,303.50 "
401120:401122-CUS-143678,Hydrill Pressure controlling Arabia limited,"218,038.69 ","221,200.00 ","223,000.30 ","217,750.30 ",,,,,,,,,"879,989.29 "
401120:401122-CUS-143681,Synthomer Middle East. Co,"26,915.00 ","25,661.00 ","27,118.00 ","25,538.00 ",,,,,,,,,"105,232.00 "
401120:401122-CUS-143685,Logistics Plus LLC,"38,888.00 ","30,226.00 ","34,372.50 ","30,358.50 ",,,,,,,,,"133,845.00 "
401120:401122-CUS-143687,Rezayat Water Services,"11,975.00 ","12,442.00 ","11,647.00 ","12,019.00 ",,,,,,,,,"48,083.00 "
401120:401122-CUS-143688,Saudi energies International Trading Est.,"(2,332.50)","1,675.70 ","1,422.00 ","1,239.70 ",,,,,,,,,"2,004.90 "
401120:401122-“CUS-143013,Arabian Trading Supplies,"79,713.01 ",,,,,,,,,,,,"79,713.01 "
401120:401122-CUS-143696,Goodpack Middle East Co. Ltd.,"147,514.68 ","142,344.84 ","157,134.54 ","61,559.25 ",,,,,,,,,"508,553.31 "
401120:401122-CUS-143698,Wosool Transport & Logistics Co. (“Wosool”),"6,203.20 ","4,529.60 ","4,201.60 ",,,,,,,,,,"14,934.40 "
401120:401122-CUS-143699,MORPHO SAUDI ARABIA COMPANY LIMITED,"70,522.00 ","74,582.00 ","78,494.00 ","73,789.50 ",,,,,,,,,"297,387.50 "
401120:401122-CUS-143700,BDP International Logistic Services Co.,"505,661.44 ","505,062.05 ","524,568.49 ","563,628.87 ",,,,,,,,,"2,098,920.85 "
401120:401122-CUS-143701,Sanabel United Trading Co,"30,759.75 ",,,"197,468.43 ",,,,,,,,,"228,228.18 "
401120:401122-CUS-143702,Saint-Gobain Trading,"14,892.00 ","12,711.00 ","13,957.00 ","14,081.50 ",,,,,,,,,"55,641.50 "
401120:401122-CUS-143705,Waleed Suleiman Al-Murshid Trading Company,"3,586.00 ","8,531.50 ","4,084.50 ","3,269.50 ",,,,,,,,,"19,471.50 "
